대분류,중분류,세부기능,기능설명,사용자유형,구현상태,우선순위,관련API,비고
학생 채팅 시스템,QR 접속,QR 코드 스캔,스마트폰으로 QR 코드를 스캔하여 채팅 페이지 접속,학생,완료,높음,GET /chat/:qrCode,웹 브라우저에서 즉시 실행
학생 채팅 시스템,QR 접속,지문세트 자동 로딩,QR 코드에 해당하는 지문세트 정보 자동 로딩,학생,완료,높음,GET /chat/:qrCode,지문과 문제 정보 포함
학생 채팅 시스템,AI 채팅,실시간 메시지 교환,AI와 자연스러운 대화형 질문답변,학생,완료,높음,POST /chat/:qrCode,OpenAI GPT 모델 사용
학생 채팅 시스템,AI 채팅,지문 기반 맞춤 응답,특정 지문과 문제에 특화된 AI 응답 생성,학생,완료,높음,POST /chat/:qrCode,시스템 프롬프트 기반
학생 채팅 시스템,AI 채팅,마크다운 지원,구조화된 답변 표시 (제목/목록/강조 등),학생,완료,보통,N/A,ReactMarkdown 사용
학생 채팅 시스템,AI 채팅,메시지 히스토리,이전 대화 내용 유지 및 참조,학생,완료,보통,N/A,localStorage 저장
학생 채팅 시스템,지문 정보,지문 내용 표시,현재 학습중인 지문 내용 확인,학생,완료,보통,N/A,확장 가능한 뷰어
학생 채팅 시스템,지문 정보,지문 해설 표시,지문에 대한 상세 해설 확인,학생,완료,보통,N/A,마크다운 렌더링
학생 채팅 시스템,지문 정보,관련 문제 표시,지문과 연결된 객관식 문제 목록,학생,완료,보통,N/A,정답 및 해설 포함
학생 채팅 시스템,세션 관리,다중 세션 지원,여러 QR 코드별 독립적 채팅 세션,학생,완료,보통,N/A,최대 10개 세션
학생 채팅 시스템,세션 관리,자동 정리,2주 이상 된 오래된 세션 자동 삭제,학생,완료,낮음,N/A,클라이언트 사이드 처리
관리자 시스템,인증,어드민 접근,관리자 페이지 접근 제어,관리자,완료,높음,N/A,기본 인증 시스템
